id,type,domain,enabled,date_added,date_modified,comment
1,0,v10.events.data.microsoft.com,1,1600838975,1600838975,"Added from Query Log"
2,0,self.events.data.microsoft.com,1,1600839313,1600839313,"Added from Query Log"
4,1,widget-mediator.zopim.com,1,1600842822,1600842822,"Added from Query Log"
5,0,i.ytimg.com,1,1600842863,1600842863,"Added from Query Log"
6,1,photos-ugc.l.googleusercontent.com,1,1600842950,1600842950,"Added from Query Log"
8,1,r8---sn-8xgp1vo-2iae.googlevideo.com,1,1600843100,1600843100,"Added from Query Log"
9,1,scontent.xx.fbcdn.net,1,1600843821,1600843821,"Added from Query Log"
10,1,disqusservice.com,1,1600843833,1600843833,"Added from Query Log"
11,1,c.disquscdn.com.cdn.cloudflare.net,1,1600843910,1600843910,"Added from Query Log"
12,1,c.disquscdn.com,1,1600843922,1600843922,"Added from Query Log"
14,1,r3.sn-8xgp1vo-p5ql.googlevideo.com,1,1600844289,1600844289,"Added from Query Log"
15,1,r1---sn-8xgp1vo-2ial.googlevideo.com,1,1600844330,1600844330,"Added from Query Log"
16,1,redirector.googlevideo.com,1,1600844342,1600939474,"Added from Query Log"
20,1,r2.sn-8xgp1vo-p5ql.googlevideo.com,1,1600844491,1600844491,"Added from Query Log"
26,0,www.googleapis.com,1,1600844744,1600844744,"Added from Query Log"
27,0,youtube-ui.l.google.com,1,1600844791,1600856021,"Added from Query Log"
28,0,youtubei.googleapis.com,1,1600844821,1600844821,"Added from Query Log"
29,0,play.googleapis.com,1,1600844904,1600844904,"Added from Query Log"
30,0,mobile-gtalk.l.google.com,1,1600844928,1600844928,"Added from Query Log"
31,0,analytics-ingestion.production-public.tubi.io,1,1600854483,1600854483,"Added from Query Log"
32,0,lb.production-public.tubi.io,1,1600854520,1600854520,"Added from Query Log"
33,0,uapi.adrise.tv,1,1600854542,1600854542,"Added from Query Log"
34,0,www.google-analytics.com,1,1600905304,1600905304,"Added from Query Log"
35,0,browser.pipe.aria.microsoft.com,1,1600905340,1600905340,"Added from Query Log"
36,0,cdp.cloud.unity3d.com,1,1600905346,1600905346,"Added from Query Log"
39,0,config.uca.cloud.unity3d.com,1,1600905464,1600905464,"Added from Query Log"
40,0,fls-na.amazon.com,1,1600905482,1600905482,"Added from Query Log"
41,0,yt3.ggpht.com,1,1600905632,1600905632,"Added from Query Log"
42,0,192-168-15-201.78d6de8fa3f2477f981bf70c96dca7b5.plex.direct,1,1600906776,1600906776,
43,0,192-168-15-201.5c5a3336dd444e16bf07e84d31c4f6bb.plex.direct,1,1600906831,1600906831,
44,0,192-168-15-201.abcdefghijklmnopqrstuvwxyz012345.plex.direct,1,1600921196,1600921196,
48,0,dpm.demdex.net,1,1600926098,1600939467,"Added from Query Log"
49,0,api2.branch.io,1,1600926105,1600939469,"Added from Query Log"
51,0,87a6b28bc7823e67a5bb2a0a6728c702afcae78d.cws.conviva.com,1,1600926128,1600939472,"Added from Query Log"
